site,treatment,tile.type,cage.number,tile.number,mean_size_start,mean_size_mid,growth,mean.flow,mean.sal,mean.temp,mean.prop,mean.chl
ML,NP,No.cull,3,61,8.47,13.0375,4.5675,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,3,599,9.06,18.31,9.25,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,3,605,7.56,11.87777778,4.317777778,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,3,628,7.58,12.075,4.495,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,3,629,8.12,16.98,8.86,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,3,661,7.73,16.05,8.32,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,72,9.69,17.89,8.2,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,133,8.46,12.64285714,4.182857143,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,135,8.53,13.1875,4.6575,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,151,7.64,16.18,8.54,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,163,7.76,12.26666667,4.506666667,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,9,425,7.66,15.43333333,7.773333333,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,126,8.77,17.43333333,8.663333333,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,156,7.46,19.17,11.71,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,347,7.43,13.17,5.74,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,443,7.47,18.24444444,10.77444444,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,456,7.54,13.71111111,6.171111111,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ML,NP,No.cull,20,463,7.788888889,14.61,6.821111111,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
PF,NP,No.cull,28,388,7.54,31.21,23.67,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,28,556,7.44,24.25555556,16.81555556,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,28,560,8.04,21.69,13.65,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,28,568,6.95,24.78,17.83,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,28,572,7.62,21.72,14.1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,28,578,6.72,27.04444444,20.32444444,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,331,7.38,27.75,20.37,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,344,7.68,28.19,20.51,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,352,7.85,31.67,23.82,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,368,7.68,30.12,22.44,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,558,7.56,27.41,19.85,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,40,567,6.72,26.94444444,20.22444444,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,310,7.39,26.95,19.56,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,337,8.24,25.94,17.7,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,338,8.12,29.12222222,21.00222222,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,340,7.433333333,31.15,23.71666667,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,354,8,32.09,24.09,12.28648148,17.66887223,29.00033664,0.140907884,16.395
PF,NP,No.cull,42,473,7.67,27.51111111,19.84111111,12.28648148,17.66887223,29.00033664,0.140907884,16.395
SIN,NP,No.cull,57,67,8.97,16.9,7.93,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,57,709,5.93,14.875,8.945,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,57,790,7.2,13.1,5.9,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,57,823,7.24,15.63333333,8.393333333,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,57,841,7.07,16.125,9.055,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,57,857,6.77,16,9.23,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,261,7.995,15.1,7.105,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,281,8.015,12.81666667,4.801666667,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,720,7.57,16.66666667,9.096666667,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,723,7.4,16.61,9.21,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,731,7.43,16.15714286,8.727142857,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,61,736,7.87,20.97,13.1,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,858,7.18,22.52857143,15.34857143,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,861,7.11,19.64,12.53,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,863,7.51,25.45,17.94,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,866,7.15,16.5,9.35,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,868,7.08,23.27142857,16.19142857,5.602777778,28.83,26.86194888,0.347238139,33.76083
SIN,NP,No.cull,64,869,7.22,20.14,12.92,5.602777778,28.83,26.86194888,0.347238139,33.76083
