site,time,treatment,tile.type,cage,tile,live,dead,survival,daily.surv,temp,flow,salinity,exposure,chl
PF,partial.end,NP,No.cull,8,30,8,2,0.8,0.01038961,28.25152,14.111237,14.17827,0.1492384,14.43
PF,partial.end,NP,No.cull,8,577,10,0,1,0.012987013,28.25152,14.111237,14.17827,0.1492384,14.43
PF,partial.end,NP,No.cull,10,302,9,1,0.9,0.011688312,28.25152,14.111237,14.17827,0.1492384,14.43
PF,partial.end,NP,No.cull,10,315,8,2,0.8,0.01038961,28.25152,14.111237,14.17827,0.1492384,14.43
PF,partial.end,NP,No.cull,12,381,10,0,1,0.012987013,28.25152,14.111237,14.17827,0.1492384,14.43
PF,partial.end,NP,No.cull,12,459,10,0,1,0.012987013,28.25152,14.111237,14.17827,0.1492384,14.43
ML,end,NP,No.cull,2,580,10,0,1,0.008064516,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,2,592,9,1,0.9,0.007258065,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,2,601,10,0,1,0.008064516,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,15,3,6,4,0.6,0.00483871,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,15,426,4,6,0.4,0.003225806,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,15,429,2,8,0.2,0.001612903,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,21,100,3,7,0.3,0.002419355,28.52517,9.115051,20.1076,0.2098488,16.54
ML,end,NP,No.cull,21,115,8,2,0.8,0.006451613,28.52517,9.115051,20.1076,0.2098488,16.54
PF,end,NP,No.cull,8,565,10,0,1,0.008064516,28.25152,14.111237,14.17827,0.1492384,14.43
PF,end,NP,No.cull,10,320,9,1,0.9,0.007258065,28.25152,14.111237,14.17827,0.1492384,14.43
PF,end,NP,No.cull,12,382,9,1,0.9,0.007258065,28.25152,14.111237,14.17827,0.1492384,14.43
SIN,end,NP,No.cull,4,766,2,8,0.2,0.001612903,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,4,774,6,4,0.6,0.00483871,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,4,838,5,5,0.5,0.004032258,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,11,724,7,3,0.7,0.005645161,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,11,725,9,1,0.9,0.007258065,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,11,729,8,2,0.8,0.006451613,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,19,850,5,5,0.5,0.004032258,26.57412,8.159663,29.09059,0.3472381,20.99
SIN,end,NP,No.cull,19,859,5,5,0.5,0.004032258,26.57412,8.159663,29.09059,0.3472381,20.99
