site,treatment,tile.type,cage,tile,mean_size_start,growth,daily.growth,temp,waterht,flow,salinity,exposure,chl
PF,NP,No.cull,8,30,9.51,31.7525,0.41237013,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,8,577,7.95,31.38,0.407532468,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,10,302,6.94,32.10444444,0.416940837,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,10,315,7.26,31.965,0.41512987,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,12,381,7.61,30.29,0.393376623,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,12,459,7.77,29.48,0.382857143,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
ML,NP,No.cull,2,580,6.91,25.85,0.208467742,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,2,592,7.4,26.46666667,0.21344086,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,2,601,8.27,23.63,0.190564516,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,15,3,10.3,20.7,0.166935484,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,15,426,7.58,25.47,0.205403226,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,15,429,7.37,18.13,0.146209677,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,21,100,9.59,26.27666667,0.211908602,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,21,115,9.05,22.5875,0.182157258,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
ML,NP,No.cull,21,458,7.66,26.44909091,0.21329912,28.52517,0.163287028,9.115051,20.1076,0.2098488,16.54
PF,NP,No.cull,8,565,7.65,34.64,0.279354839,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,10,320,7.45,31.35,0.252822581,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
PF,NP,No.cull,12,382,7.33,29.74777778,0.239901434,28.25152,0.279525346,14.111237,14.17827,0.1492384,14.43
SIN,NP,No.cull,4,766,7.66,28.09,0.226532258,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,4,774,7.97,33.23,0.267983871,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,4,838,7.85,29.03,0.234112903,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,11,724,6.95,31.75,0.256048387,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,11,725,7.92,21.84666667,0.176182796,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,11,729,7.95,32.4375,0.261592742,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,19,850,7.13,35.11,0.283145161,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
SIN,NP,No.cull,19,859,6.95,42.15,0.339919355,26.57412,0.312957506,8.159663,29.09059,0.3472381,20.99
