"site","time","treatment","tile.type","cage","tile","live","dead","survival","daily.surv"
"PF","partial.end","CC","Adult.cull","1","525",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Adult.cull","1","539",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Adult.cull","6","416",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Adult.cull","6","417",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Adult.cull","21","262",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Adult.cull","21","291",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","1","530",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","1","531",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","6","410",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","6","413",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","21","265",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.Adult.cull","21","279",1,9,0.1,0.0012987012987013
"PF","partial.end","CC","Juv.cull","1","490",5,5,0.5,0.00649350649350649
"PF","partial.end","CC","Juv.cull","1","528",6,4,0.6,0.00779220779220779
"PF","partial.end","CC","Juv.cull","6","557",6,4,0.6,0.00779220779220779
"PF","partial.end","CC","Juv.cull","6","583",5,5,0.5,0.00649350649350649
"PF","partial.end","CC","Juv.cull","21","282",5,5,0.5,0.00649350649350649
"PF","partial.end","CC","Juv.cull","21","300",6,4,0.6,0.00779220779220779
"PF","partial.end","CC","No.cull","1","538",10,0,1,0.012987012987013
"PF","partial.end","CC","No.cull","1","543",10,0,1,0.012987012987013
"PF","partial.end","CC","No.cull","6","25",10,0,1,0.012987012987013
"PF","partial.end","CC","No.cull","6","27",9,1,0.9,0.0116883116883117
"PF","partial.end","CC","No.cull","21","258",9,1,0.9,0.0116883116883117
"PF","partial.end","CC","No.cull","21","284",7,3,0.7,0.00909090909090909
"PF","partial.end","MC","Adult.cull","5","342",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Adult.cull","5","358",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Adult.cull","13","309",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Adult.cull","13","470",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Adult.cull","22","401",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Adult.cull","22","579",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","5","366",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","5","480",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","13","462",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","13","472",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","22","551",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.Adult.cull","22","561",1,9,0.1,0.0012987012987013
"PF","partial.end","MC","Juv.cull","5","494b",5,5,0.5,0.00649350649350649
"PF","partial.end","MC","Juv.cull","5","510",6,4,0.6,0.00779220779220779
"PF","partial.end","MC","Juv.cull","13","361",6,4,0.6,0.00779220779220779
"PF","partial.end","MC","Juv.cull","13","471",6,4,0.6,0.00779220779220779
"PF","partial.end","MC","Juv.cull","22","419",6,4,0.6,0.00779220779220779
"PF","partial.end","MC","Juv.cull","22","575",6,4,0.6,0.00779220779220779
"PF","partial.end","MC","No.cull","5","479",10,0,1,0.012987012987013
"PF","partial.end","MC","No.cull","5","493",10,0,1,0.012987012987013
"PF","partial.end","MC","No.cull","13","312",9,1,0.9,0.0116883116883117
"PF","partial.end","MC","No.cull","13","370",9,1,0.9,0.0116883116883117
"PF","partial.end","MC","No.cull","22","566",9,1,0.9,0.0116883116883117
"PF","partial.end","MC","No.cull","22","570",10,0,1,0.012987012987013
"PF","partial.end","MC+CC","Adult.cull","2","235",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Adult.cull","2","274",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Adult.cull","11","251",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Adult.cull","11","267",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Adult.cull","17","12",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Adult.cull","17","231",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","2","275",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","2","286",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","11","254",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","11","273",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","17","216",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.Adult.cull","17","220",1,9,0.1,0.0012987012987013
"PF","partial.end","MC+CC","Juv.cull","2","249",6,4,0.6,0.00779220779220779
"PF","partial.end","MC+CC","Juv.cull","2","334",6,4,0.6,0.00779220779220779
"PF","partial.end","MC+CC","Juv.cull","11","244",6,4,0.6,0.00779220779220779
"PF","partial.end","MC+CC","Juv.cull","11","271",6,4,0.6,0.00779220779220779
"PF","partial.end","MC+CC","Juv.cull","17","210",6,4,0.6,0.00779220779220779
"PF","partial.end","MC+CC","Juv.cull","17","234",5,5,0.5,0.00649350649350649
"PF","partial.end","MC+CC","No.cull","2","351",9,1,0.9,0.0116883116883117
"PF","partial.end","MC+CC","No.cull","2","386",8,2,0.8,0.0103896103896104
"PF","partial.end","MC+CC","No.cull","11","245",9,1,0.9,0.0116883116883117
"PF","partial.end","MC+CC","No.cull","11","256",7,3,0.7,0.00909090909090909
"PF","partial.end","MC+CC","No.cull","17","415",7,3,0.7,0.00909090909090909
"PF","partial.end","MC+CC","No.cull","17","447",10,0,1,0.012987012987013
"PF","partial.end","NP","Adult.cull","8","11",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Adult.cull","8","66",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Adult.cull","10","301",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Adult.cull","10","364",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Adult.cull","12","393",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Adult.cull","12","400",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","8","405",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","8","581",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","10","311",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","10","319",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","12","372",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.Adult.cull","12","475",1,9,0.1,0.0012987012987013
"PF","partial.end","NP","Juv.cull","8","38",5,5,0.5,0.00649350649350649
"PF","partial.end","NP","Juv.cull","8","569",6,4,0.6,0.00779220779220779
"PF","partial.end","NP","Juv.cull","10","336",6,4,0.6,0.00779220779220779
"PF","partial.end","NP","Juv.cull","10","374",6,4,0.6,0.00779220779220779
"PF","partial.end","NP","Juv.cull","12","339",6,4,0.6,0.00779220779220779
"PF","partial.end","NP","Juv.cull","12","464",6,4,0.6,0.00779220779220779
"PF","partial.end","NP","No.cull","8","30",8,2,0.8,0.0103896103896104
"PF","partial.end","NP","No.cull","8","577",10,0,1,0.012987012987013
"PF","partial.end","NP","No.cull","10","302",9,1,0.9,0.0116883116883117
"PF","partial.end","NP","No.cull","10","315",8,2,0.8,0.0103896103896104
"PF","partial.end","NP","No.cull","12","381",10,0,1,0.012987012987013
"PF","partial.end","NP","No.cull","12","459",10,0,1,0.012987012987013
"ML","end","CC","Adult.cull","12","484",8,2,0.8,0.00645161290322581
"ML","end","CC","Adult.cull","12","496",4,6,0.4,0.0032258064516129
"ML","end","CC","Adult.cull","12","550",3,7,0.3,0.00241935483870968
