site,harvest,cage,treatment,tile,tile.type,position,length,thickness,dry.mass,af.dry.mass,tissue.mass,ci,daily.ci
ML,Final,32,CC,624,Adult.cull,8,29.02,8.72,2.33,2.232,0.098,0.04390681,0.000354087
ML,Final,32,CC,624,Adult.cull,9,13.18,3.59,0.346,0.331,0.015,0.045317221,0.000365461
ML,Final,32,CC,624,Adult.cull,3,22.06,3.9,0.569,0.543,0.026,0.047882136,0.000386146
ML,Final,32,CC,624,Adult.cull,1,32.67,7.29,2.107,2.002,0.105,0.052447552,0.000422964
ML,Final,32,CC,77,Adult.cull,9,25.86,6.4,1.459,1.383,0.076,0.054953001,0.000443169
ML,Final,32,CC,624,Adult.cull,5,34.35,8.55,2.223,2.105,0.118,0.056057007,0.000452073
ML,Final,32,CC,439,Adult.cull,5,36.35,9.93,2.75,2.591,0.159,0.061366268,0.000494889
ML,Final,32,CC,77,Adult.cull,2,30.58,6.52,1.377,1.295,0.082,0.063320463,0.000510649
ML,Final,32,CC,439,Adult.cull,10,38.74,10.87,3.6,3.385,0.215,0.06351551,0.000512222
ML,Final,36,CC,484,Adult.cull,4,32.05,6.51,1.564,1.47,0.094,0.063945578,0.00051569
ML,Final,32,CC,624,Adult.cull,7,41.05,11.66,3.377,3.173,0.204,0.064292468,0.000518488
ML,Final,36,CC,484,Adult.cull,7,36.76,6.59,2.464,2.315,0.149,0.064362851,0.000519055
ML,Final,32,CC,77,Adult.cull,7,19.86,3.67,0.296,0.278,0.018,0.064748201,0.000522163
ML,Final,32,CC,439,Adult.cull,2,38.01,7.1,2.078,1.951,0.127,0.065094823,0.000524958
ML,Final,32,CC,439,Adult.cull,6,35.85,9.53,2.355,2.209,0.146,0.066093255,0.00053301
ML,Final,32,CC,439,Adult.cull,7,37.96,8.9,1.798,1.683,0.115,0.068330362,0.000551051
ML,Final,36,CC,484,Adult.cull,5,22.05,6.6,1.091,1.021,0.07,0.068560235,0.000552905
ML,Final,32,CC,624,Adult.cull,6,43.88,9.31,2.819,2.636,0.183,0.069423369,0.000559866
ML,Final,36,CC,484,Adult.cull,6,40.31,6.73,2.389,2.229,0.16,0.071781068,0.00057888
ML,Final,32,CC,624,Adult.cull,10,27.51,7.65,1.67,1.558,0.112,0.071887035,0.000579734
ML,Final,32,CC,439,Adult.cull,9,35.21,10.12,1.559,1.454,0.105,0.07221458,0.000582376
ML,Final,32,CC,77,Adult.cull,3,36.32,5.13,1.591,1.483,0.108,0.072825354,0.000587301
ML,Final,32,CC,439,Adult.cull,3,44.64,8.17,2.941,2.739,0.202,0.073749544,0.000594754
ML,Final,36,CC,550,Adult.cull,10,25.43,6.11,1.029,0.955,0.074,0.077486911,0.000624894
ML,Final,32,CC,439,Adult.cull,1,39.97,7.71,2.492,2.312,0.18,0.077854671,0.00062786
ML,Final,36,CC,550,Adult.cull,5,30.82,7.11,1.656,1.534,0.122,0.079530639,0.000641376
ML,Final,32,CC,77,Adult.cull,8,29.25,5.7,1.023,0.945,0.078,0.082539683,0.000665643
ML,Final,36,CC,550,Adult.cull,5,32.13,5.83,1.441,1.327,0.114,0.085908063,0.000692807
ML,Final,36,CC,550,Adult.cull,7,33.21,5.45,1.575,1.45,0.125,0.086206897,0.000695217
ML,Final,36,CC,484,Adult.cull,1,33.42,5.88,1.976,1.812,0.164,0.090507726,0.000729901
ML,Final,36,CC,550,Adult.cull,9,40.54,6.24,2.213,2.021,0.192,0.095002474,0.000766149
ML,Final,36,CC,484,Adult.cull,9,27.46,5.91,1.776,1.611,0.165,0.102420857,0.000825975
ML,Final,36,CC,484,Adult.cull,10,37.41,6.99,3.276,2.914,0.362,0.124227865,0.001001838
ML,Final,47,MC,7,Adult.cull,2,30.69,4.87,1.308,1.292,0.016,0.012383901,9.99E-05
ML,Final,47,MC,20,Adult.cull,4,35.64,6.2,1.893,1.844,0.049,0.026572668,0.000214296
ML,Final,28,MC,623,Adult.cull,8,33.55,7.42,2.447,2.382,0.065,0.027287993,0.000220064
ML,Final,28,MC,623,Adult.cull,3,24.09,5.87,1.073,1.038,0.035,0.03371869,0.000271925
ML,Final,28,MC,208,Adult.cull,1,30.78,6.01,1.741,1.672,0.069,0.041267943,0.000332806
ML,Final,28,MC,187,Adult.cull,10,23.54,4.61,0.796,0.763,0.033,0.043250328,0.000348793
