"site","treatment","tile.type","cage","tile","mean_size_start","mean_size_partial_end","growth","daily.growth","mean_size_end","trans.daily.growth"
"PF","CC","Adult.cull","1","525",6.54,33,26.46,0.343636363636364,NA,0.6263666791432
"PF","CC","Adult.cull","1","539",7.75,27.5,19.75,0.256493506493506,NA,0.531064925631399
"PF","CC","Adult.cull","6","416",7.61,42.4,34.79,0.451818181818182,NA,0.737141462886808
"PF","CC","Adult.cull","6","417",7.23,41.9,34.67,0.45025974025974,NA,0.735575494763093
"PF","CC","Adult.cull","21","262",8.51,41.1,32.59,0.423246753246753,NA,0.708340235949652
"PF","CC","Adult.cull","21","291",8.13,33.9,25.77,0.334675324675325,NA,0.616902391756226
"PF","CC","Juv.Adult.cull","1","530",6.81,32.1,25.29,0.328441558441558,NA,0.610281551010172
"PF","CC","Juv.Adult.cull","1","531",6.23,33.3,27.07,0.351558441558442,NA,0.634684691461445
"PF","CC","Juv.Adult.cull","6","410",8.21,37.7,29.49,0.382987012987013,NA,0.667289863307448
"PF","CC","Juv.Adult.cull","6","413",7.93,40,32.07,0.416493506493506,NA,0.701498502102063
"PF","CC","Juv.Adult.cull","21","265",7.83,39,31.17,0.404805194805195,NA,0.68961866291887
"PF","CC","Juv.Adult.cull","21","279",8.02,40.9,32.88,0.427012987012987,NA,0.71214942667172
"PF","CC","Juv.cull","1","490",7.1,31.8,24.7,0.320779220779221,NA,0.60209916844104
"PF","CC","Juv.cull","1","528",6.81,27.6166666666667,20.8066666666667,0.27021645021645,NA,0.546644305872379
"PF","CC","Juv.cull","6","557",7.42,40.1783333333333,32.7583333333333,0.4254329004329,NA,0.710551852300485
"PF","CC","Juv.cull","6","583",7.07,40.46,33.39,0.433636363636364,NA,0.718838116495918
"PF","CC","Juv.cull","21","282",8.85,36.64,27.79,0.360909090909091,NA,0.644447817647513
"PF","CC","Juv.cull","21","300",7.77,31.9,24.13,0.313376623376623,NA,0.594145046235826
"PF","CC","No.cull","1","538",7.69,34.31,26.62,0.345714285714286,NA,0.62855276070564
"PF","CC","No.cull","1","543",7.63,31.33,23.7,0.307792207792208,NA,0.588110823776797
"PF","CC","No.cull","6","25",9.68,40.15,30.47,0.395714285714286,NA,0.68034114573098
"PF","CC","No.cull","6","27",8.7,40.1,31.4,0.407792207792208,NA,0.692659555934099
"PF","CC","No.cull","21","258",7.64,35.3222222222222,27.6822222222222,0.35950937950938,NA,0.642989969491379
"PF","CC","No.cull","21","284",8.53,43.7571428571429,35.2271428571429,0.457495361781076,NA,0.742842164137829
"PF","MC","Adult.cull","5","342",7.51,28.3,20.79,0.27,NA,0.546400564137972
"PF","MC","Adult.cull","5","358",7.43,39.1,31.67,0.411298701298701,NA,0.69622488620592
"PF","MC","Adult.cull","13","309",8.18,46.6,38.42,0.498961038961039,NA,0.784359201610822
"PF","MC","Adult.cull","13","470",8,40.2,32.2,0.418181818181818,NA,0.703210371382123
"PF","MC","Adult.cull","22","401",7.66,41.6,33.94,0.440779220779221,NA,0.72603804056899
"PF","MC","Adult.cull","22","579",7.95,25.6,17.65,0.229220779220779,NA,0.499253248914464
"PF","MC","Juv.Adult.cull","5","366",6.72,37.9,31.18,0.404935064935065,NA,0.689750949422431
"PF","MC","Juv.Adult.cull","5","480",7.31,29.8,22.49,0.292077922077922,NA,0.570962750699594
