site,treatment,tile.type,cage.number,tile.number,live,dead
ml,cc,no.cull,5,85,10,0
ml,cc,no.cull,5,99,10,0
ml,cc,no.cull,5,128,10,0
ml,cc,no.cull,5,205,10,0
ml,cc,no.cull,11,148,10,0
ml,cc,no.cull,22,90,10,0
ml,cc,no.cull,22,121,10,0
ml,cc,no.cull,22,213,10,0
ml,mc,no.cull,6,158,10,0
ml,mc,no.cull,6,171,10,0
ml,mc,no.cull,6,195,10,0
ml,mc,no.cull,6,211,10,0
ml,mc,no.cull,17,345,10,0
ml,mc,no.cull,17,412,10,0
ml,mc,no.cull,17,445,10,0
ml,mc,no.cull,17,448,10,0
ml,mc,no.cull,19,80,10,0
ml,mc,no.cull,19,112,10,0
ml,mc,no.cull,19,118,10,0
ml,mc,no.cull,19,159,10,0
ml,mc,no.cull,24,84,10,0
ml,mc,no.cull,24,153,10,0
ml,np,no.cull,3,599,10,0
ml,np,no.cull,3,605,10,0
ml,np,no.cull,3,629,10,0
ml,np,no.cull,3,661,10,0
ml,np,no.cull,9,72,10,0
ml,np,no.cull,9,151,10,0
ml,np,no.cull,20,156,10,0
ml,np,no.cull,20,347,10,0
ml,np,no.cull,20,463,10,0
pf,cc,no.cull,33,399,10,0
pf,cc,no.cull,33,509,10,0
pf,cc,no.cull,33,512,10,0
pf,cc,no.cull,33,529,10,0
pf,cc,no.cull,33,534,10,0
pf,cc,no.cull,33,540,10,0
pf,cc,no.cull,39,28,10,0
pf,cc,no.cull,39,376,10,0
pf,cc,no.cull,39,380,10,0
pf,cc,no.cull,39,389,10,0
pf,cc,no.cull,39,468,10,0
pf,cc,no.cull,43,52,10,0
pf,cc,no.cull,43,554,10,0
pf,cc,no.cull,43,555,10,0
pf,cc,no.cull,43,573,10,0
pf,cc,no.cull,43,584,10,0
pf,cc,no.cull,43,586,10,0
pf,mc,no.cull,27,485,10,0
pf,mc,no.cull,27,495,10,0
pf,mc,no.cull,27,499,10,0
pf,mc,no.cull,27,518,10,0
pf,mc,no.cull,27,532,10,0
pf,mc,no.cull,27,548,10,0
pf,mc,no.cull,31,317,10,0
pf,mc,no.cull,31,326,10,0
pf,mc,no.cull,31,343,10,0
pf,mc,no.cull,31,365,10,0
pf,mc,no.cull,31,379,10,0
pf,mc,no.cull,38,139,10,0
pf,mc,no.cull,38,162,10,0
pf,mc,no.cull,38,167,10,0
pf,mc,no.cull,38,217,10,0
pf,mc,no.cull,38,218,10,0
pf,mc,no.cull,38,223,10,0
pf,mc,no.cull,44,306,10,0
pf,mc,no.cull,44,348,10,0
pf,mc,no.cull,44,384,10,0
pf,mc,no.cull,44,461,10,0
pf,mc,no.cull,47,230,10,0
pf,mc,no.cull,47,241,10,0
pf,mc,no.cull,47,242,10,0
pf,mc,no.cull,47,247,10,0
pf,mc,no.cull,47,255,10,0
pf,mc,no.cull,47,266,10,0
pf,mc,no.cull,48,54,10,0
pf,mc,no.cull,48,55,10,0
pf,mc,no.cull,48,59,10,0
pf,mc,no.cull,48,237,10,0
pf,mc,no.cull,48,408,10,0
pf,mc,no.cull,48,588,10,0
pf,np,no.cull,28,388,10,0
pf,np,no.cull,28,560,10,0
pf,np,no.cull,28,568,10,0
pf,np,no.cull,28,572,10,0
pf,np,no.cull,28,578,10,0
pf,np,no.cull,40,331,10,0
pf,np,no.cull,40,344,10,0
pf,np,no.cull,40,352,10,0
pf,np,no.cull,40,368,10,0
pf,np,no.cull,40,558,10,0
pf,np,no.cull,42,310,10,0
