site,cage,treatment,tile,tile.treatment,position,length,thickness,dry.mass,af.dry.mass,tissue.mass,ci
SIN,1,MC,33,No.cull,1,18.84,4.97,0.767,0.679,0.088,0.129602356
SIN,1,MC,33,No.cull,3,28.49,4.84,0.757,0.706,0.051,0.07223796
SIN,1,MC,33,No.cull,4,22.3,5.16,0.496,0.465,0.031,0.066666667
SIN,1,MC,33,No.cull,5,18.05,4.54,0.406,0.386,0.02,0.051813472
SIN,1,MC,33,No.cull,6,21.38,4.98,0.551,0.521,0.03,0.057581574
SIN,1,MC,33,No.cull,7,19.34,3.81,0.335,0.316,0.019,0.060126582
SIN,1,MC,33,No.cull,9,13.33,4.41,0.256,0.241,0.015,0.062240664
SIN,1,MC,42,No.cull,1,18.38,4.24,0.369,0.348,0.021,0.060344828
SIN,1,MC,42,No.cull,2,11.39,2.49,0.088,0.084,0.004,0.047619048
SIN,1,MC,42,No.cull,6,20.85,4.65,0.321,0.301,0.02,0.066445183
SIN,1,MC,42,No.cull,7,23.55,4.04,0.532,0.498,0.034,0.068273092
SIN,1,MC,42,No.cull,9,21.84,4.02,0.369,0.344,0.025,0.072674419
SIN,1,MC,42,No.cull,10,15.96,2.95,0.204,0.19,0.014,0.073684211
SIN,1,MC,737,No.cull,1,15.54,4.12,0.248,0.235,0.013,0.055319149
SIN,1,MC,737,No.cull,2,17.31,4.22,0.26,0.246,0.014,0.056910569
SIN,1,MC,737,No.cull,3,12.97,4.15,0.127,0.073,0.054,0.739726027
SIN,1,MC,737,No.cull,4,19.94,4.05,0.362,0.217,0.145,0.668202765
SIN,1,MC,738,Juv.cull,7,15.39,3.52,0.259,0.245,0.014,0.057142857
SIN,1,MC,738,Juv.cull,10,18.38,4.76,0.413,0.387,0.026,0.067183463
SIN,1,MC,742,No.cull,3,16.9,3.56,0.266,0.25,0.016,0.064
SIN,1,MC,760,Juv.cull,9,15.15,3.55,0.215,0.204,0.011,0.053921569
SIN,1,MC,760,Juv.cull,10,20.74,4.1,0.336,0.315,0.021,0.066666667
SIN,1,MC,761,Juv.cull,7,12.93,3.57,0.187,0.176,0.011,0.0625
SIN,1,MC,761,Juv.cull,9,16.79,4.92,0.295,0.281,0.014,0.049822064
SIN,1,MC,762,Juv.cull,6,12.45,4.42,0.262,0.243,0.019,0.0781893
SIN,1,MC,762,Juv.cull,7,9.73,3.98,0.127,0.119,0.008,0.067226891
SIN,1,MC,764,No.cull,4,14.99,3.82,0.163,0.155,0.008,0.051612903
SIN,1,MC,764,No.cull,5,12.45,4.33,0.312,0.296,0.016,0.054054054
SIN,1,MC,764,No.cull,7,14.13,3.81,0.296,0.279,0.017,0.0609319
SIN,1,MC,764,No.cull,8,14.97,3.81,0.219,0.205,0.014,0.068292683
SIN,1,MC,765,Juv.cull,8,15.2,3.42,0.166,0.157,0.009,0.057324841
SIN,1,MC,769,Juv.cull,4,19.58,3.79,0.36,0.34,0.02,0.058823529
SIN,1,MC,769,Juv.cull,5,19.8,4.61,0.398,0.374,0.024,0.064171123
SIN,1,MC,769,Juv.cull,9,15.62,5.4,0.48,0.409,0.071,0.173594132
SIN,1,MC,769,Juv.cull,10,12.13,3.75,0.204,0.157,0.047,0.299363057
SIN,1,MC,873,No.cull,2,20.14,4.51,0.458,0.426,0.032,0.075117371
SIN,1,MC,873,No.cull,3,14.27,3.58,0.21,0.193,0.017,0.088082902
SIN,1,MC,873,No.cull,4,17.53,3.7,0.303,0.283,0.02,0.070671378
SIN,1,MC,873,No.cull,5,11.14,2.73,0.079,0.074,0.005,0.067567568
SIN,1,MC,873,No.cull,9,13.1,3.96,0.283,0.267,0.016,0.059925094
SIN,2,MC,35,No.cull,1,23.38,4.76,0.594,0.561,0.033,0.058823529
SIN,2,MC,35,No.cull,5,14.68,3.19,0.143,0.135,0.008,0.059259259
SIN,2,MC,35,No.cull,6,13.55,4.69,0.295,0.281,0.014,0.049822064
SIN,2,MC,35,No.cull,7,18.3,4.7,0.477,0.449,0.028,0.062360802
SIN,2,MC,35,No.cull,9,20.32,4.64,0.479,0.454,0.025,0.055066079
