"site","treatment","tile.type","cage.number","tile.number","mean_size_start","mean_size_mid","growth"
"ML","CC","Juv.cull",5,8,8.79,17.84,9.05
"ML","CC","Juv.cull",5,87,8.86,18.6,9.74
"ML","CC","Juv.cull",5,98,9.05,17.24,8.19
"ML","CC","Juv.cull",5,109,9.96,17.64,7.68
"ML","CC","Juv.cull",5,192,9.46,14.68,5.22
"ML","CC","Juv.cull",5,203,8.23,12.86,4.63
"ML","CC","Juv.cull",11,149,9.48,18.06,8.58
"ML","CC","Juv.cull",11,155,7.44,15.68,8.24
"ML","CC","Juv.cull",11,172,8,15.4,7.4
"ML","CC","Juv.cull",11,174,7.81,10.65,2.84
"ML","CC","Juv.cull",11,651,7.3,8.5,1.2
"ML","CC","Juv.cull",11,666,7.12,9.86666666666667,2.74666666666667
"ML","CC","Juv.cull",22,129,9.25,15.125,5.875
"ML","CC","Juv.cull",22,130,9,11.375,2.375
"ML","CC","Juv.cull",22,170,8.49,13.4333333333333,4.94333333333333
"ML","CC","Juv.cull",22,188,9.3,9.68,0.379999999999999
"ML","CC","Juv.cull",22,206,8.24,15.84,7.6
"ML","CC","Juv.cull",22,209,8.7,15.7,7
"ML","CC","No.cull",5,85,10.36,13.19,2.83
"ML","CC","No.cull",5,99,9.69,18.47,8.78
"ML","CC","No.cull",5,128,9.37,18.37,9
"ML","CC","No.cull",5,182,10.22,12.3111111111111,2.09111111111111
"ML","CC","No.cull",5,205,8.79,14.68,5.89
"ML","CC","No.cull",5,398,7.11,11.0888888888889,3.97888888888889
"ML","CC","No.cull",11,137,8.84,12.7125,3.8725
"ML","CC","No.cull",11,145,8.46,15.0333333333333,6.57333333333333
"ML","CC","No.cull",11,147,9.07,11.7333333333333,2.66333333333333
"ML","CC","No.cull",11,148,9.73,16.69,6.96
"ML","CC","No.cull",11,166,8.7,14.14,5.44
"ML","CC","No.cull",11,664,7.45,13.825,6.375
"ML","CC","No.cull",22,90,10.13,17.5,7.37
"ML","CC","No.cull",22,92,9.07,11.7666666666667,2.69666666666667
"ML","CC","No.cull",22,107,9.6,16.4,6.8
"ML","CC","No.cull",22,121,8.54,15.93,7.39
"ML","CC","No.cull",22,168,8.77,11.8625,3.0925
"ML","CC","No.cull",22,213,7.73,10.1,2.37
"ML","MC","Juv.cull",6,113,8.93,21.74,12.81
"ML","MC","Juv.cull",6,116,8.06,15.5,7.44
"ML","MC","Juv.cull",6,161,7.16,16.56,9.4
"ML","MC","Juv.cull",6,184,7.97,17.78,9.81
"ML","MC","Juv.cull",6,199,8.96,15.8,6.84
"ML","MC","Juv.cull",6,608,7.43,13.54,6.11
"ML","MC","Juv.cull",14,4,11.36,16.88,5.52
"ML","MC","Juv.cull",14,201,8.93,15.1333333333333,6.20333333333333
"ML","MC","Juv.cull",14,488,7.46,15.15,7.69
"ML","MC","Juv.cull",14,502,7.62,9.76666666666667,2.14666666666667
"ML","MC","Juv.cull",14,662,7.13,9.9,2.77
"ML","MC","Juv.cull",16,95,9.3,15.9,6.6
"ML","MC","Juv.cull",16,101,8.41,9.36666666666667,0.956666666666667
"ML","MC","Juv.cull",16,421,8.18,11.85,3.67
"ML","MC","Juv.cull",16,436,8.44,12.8333333333333,4.39333333333333
"ML","MC","Juv.cull",16,437,7.61,10.2,2.59
"ML","MC","Juv.cull",16,441,8.2,16.6,8.4
"ML","MC","Juv.cull",17,83,10.6,15.7333333333333,5.13333333333333
"ML","MC","Juv.cull",17,88,10.36,18.5,8.14
"ML","MC","Juv.cull",17,104,9.46,16.3333333333333,6.87333333333334
"ML","MC","Juv.cull",17,444,8.03,15.58,7.55
"ML","MC","Juv.cull",17,460,7.48,11.38,3.9
"ML","MC","Juv.cull",17,474,8.15,13.875,5.725
"ML","MC","Juv.cull",19,91,7.82,10.925,3.105
"ML","MC","Juv.cull",19,117,8.96,17.68,8.72
"ML","MC","Juv.cull",19,119,9.96,18.225,8.265
"ML","MC","Juv.cull",19,124,8.96,18.26,9.3
"ML","MC","Juv.cull",19,132,8.99,15.78,6.79
"ML","MC","Juv.cull",19,144,8.75,13.22,4.47
"ML","MC","Juv.cull",24,108,9.54,16.36,6.82
"ML","MC","Juv.cull",24,122,10.1,12.28,2.18
"ML","MC","Juv.cull",24,152,8.72,16.125,7.405
"ML","MC","Juv.cull",24,154,7.8,15.42,7.62
"ML","MC","Juv.cull",24,204,9.05,18.72,9.67
"ML","MC","Juv.cull",24,207,8.58,13.82,5.24
"ML","MC","No.cull",6,114,9.06,15.15,6.09
"ML","MC","No.cull",6,158,8.49,15.47,6.98
"ML","MC","No.cull",6,171,8.55,19.27,10.72
"ML","MC","No.cull",6,194,9.74,22.4333333333333,12.6933333333333
"ML","MC","No.cull",6,195,9.17,15.04,5.87
"ML","MC","No.cull",6,211,7.41,17.77,10.36
"ML","MC","No.cull",14,14,7.87,15.28,7.41
"ML","MC","No.cull",14,26,9.58,17.7125,8.1325
"ML","MC","No.cull",14,29,9.06,13.0857142857143,4.02571428571428
"ML","MC","No.cull",14,123,8.85,17.1777777777778,8.32777777777778
"ML","MC","No.cull",14,191,9.35,12.4555555555556,3.10555555555556
"ML","MC","No.cull",14,492,7.65,16.1833333333333,8.53333333333333
"ML","MC","No.cull",16,15,9.23,12.26,3.03
"ML","MC","No.cull",16,75,9.81,16.1555555555556,6.34555555555555
"ML","MC","No.cull",16,79,9.94,17.1111111111111,7.17111111111111
"ML","MC","No.cull",16,214,7.3,11.2,3.9
