tile,site,cage.number,treatment,harvest,tile.treatment,recruits,days,std.recruits
525,PF,1,CC,Adult,Adult.cull,22,86,0.255813953
539,PF,1,CC,Adult,Adult.cull,22,86,0.255813953
417,PF,6,CC,Adult,Adult.cull,17,86,0.197674419
416,PF,6,CC,Adult,Adult.cull,27,86,0.313953488
407,PF,6,CC,Adult,Adult.cull,41,86,0.476744186
251,PF,11,CC,Adult,Adult.cull,44,86,0.511627907
267,PF,11,CC,Adult,Adult.cull,23,86,0.26744186
291,PF,21,CC,Adult,Adult.cull,8,86,0.093023256
262,PF,21,CC,Adult,Adult.cull,34,86,0.395348837
531,PF,1,CC,Adult,Juv.Adult.cull,9,86,0.104651163
530,PF,1,CC,Adult,Juv.Adult.cull,23,86,0.26744186
410,PF,6,CC,Adult,Juv.Adult.cull,45,86,0.523255814
404,PF,6,CC,Adult,Juv.Adult.cull,22,86,0.255813953
413,PF,6,CC,Adult,Juv.Adult.cull,20,86,0.23255814
273,PF,11,CC,Adult,Juv.Adult.cull,28,86,0.325581395
254,PF,11,CC,Adult,Juv.Adult.cull,31,86,0.360465116
265,PF,21,CC,Adult,Juv.Adult.cull,52,86,0.604651163
279,PF,21,CC,Adult,Juv.Adult.cull,11,86,0.127906977
528,PF,1,CC,Adult,Juv.cull,33,86,0.38372093
557,PF,6,CC,Adult,Juv.cull,31,86,0.360465116
583,PF,6,CC,Adult,Juv.cull,35,86,0.406976744
51,PF,6,CC,Adult,Juv.cull,24,86,0.279069767
271,PF,11,CC,Adult,Juv.cull,24,86,0.279069767
244,PF,11,CC,Adult,Juv.cull,23,86,0.26744186
282,PF,21,CC,Adult,Juv.cull,20,86,0.23255814
300,PF,21,CC,Adult,Juv.cull,13,86,0.151162791
543,PF,1,CC,Adult,No.cull,34,86,0.395348837
538,PF,1,CC,Adult,No.cull,25,86,0.290697674
25,PF,6,CC,Adult,No.cull,19,86,0.220930233
27,PF,6,CC,Adult,No.cull,20,86,0.23255814
256,PF,11,CC,Adult,No.cull,33,86,0.38372093
245,PF,11,CC,Adult,No.cull,16,86,0.186046512
284,PF,21,CC,Adult,No.cull,19,86,0.220930233
258,PF,21,CC,Adult,No.cull,35,86,0.406976744
358,PF,5,MC,Adult,Adult.cull,35,86,0.406976744
342,PF,5,MC,Adult,Adult.cull,29,86,0.337209302
309,PF,13,MC,Adult,Adult.cull,18,86,0.209302326
470,PF,13,MC,Adult,Adult.cull,6,86,0.069767442
401,PF,22,MC,Adult,Adult.cull,49,86,0.569767442
366,PF,5,MC,Adult,Juv.Adult.cull,36,86,0.418604651
480,PF,5,MC,Adult,Juv.Adult.cull,28,86,0.325581395
462,PF,13,MC,Adult,Juv.Adult.cull,17,86,0.197674419
472,PF,13,MC,Adult,Juv.Adult.cull,36,86,0.418604651
561,PF,22,MC,Adult,Juv.Adult.cull,35,86,0.406976744
551,PF,22,MC,Adult,Juv.Adult.cull,30,86,0.348837209
494b,PF,5,MC,Adult,Juv.cull,18,86,0.209302326
510,PF,5,MC,Adult,Juv.cull,20,86,0.23255814
361,PF,13,MC,Adult,Juv.cull,19,86,0.220930233
471,PF,13,MC,Adult,Juv.cull,25,86,0.290697674
575,PF,22,MC,Adult,Juv.cull,22,86,0.255813953
419,PF,22,MC,Adult,Juv.cull,25,86,0.290697674
479,PF,5,MC,Adult,No.cull,26,86,0.302325581
493,PF,5,MC,Adult,No.cull,11,86,0.127906977
370,PF,13,MC,Adult,No.cull,32,86,0.372093023
